Year,January,February,March,April,May,June,July,August,September,October,November,December,Annual
1893,M,M,M,M,M,M,M,M,M,M,M,M,M
1894,M,M,M,M,M,M,M,2,1.84,M,M,M,M
1895,M,M,M,M,M,M,M,M,M,1.38,M,M,M
1896,M,M,M,M,M,M,M,M,M,M,M,M,M
1897,M,M,M,M,M,M,M,M,M,M,M,M,M
1898,M,0.88,M,1.96,5.83,M,M,M,M,5.21,M,2.68,M
1899,3.75,6.43,M,M,M,M,M,M,M,1.58,M,M,M
1900,2.04,M,4.57,2.2,3.19,M,5.45,1.8,M,3.76,4.55,3.37,M
1901,2.85,0.74,3.41,5.88,6.71,M,M,10.53,2.59,0.96,M,7.48,M
1902,3.35,M,3.42,1.75,1.85,2.9,4.09,1.06,2.22,3.06,M,M,M
1903,M,5.61,M,M,M,M,6.29,3.68,4.96,1.87,1.94,M,M
1904,M,M,M,M,M,7.42,4.13,M,M,0.13,M,M,M
1905,M,M,M,M,M,M,12.49,6.2,2.2,3.01,M,3.76,M
1906,4.17,M,M,M,M,M,M,M,M,M,2.23,3.04,M
1907,1.97,2.02,M,4.39,2.7,M,M,M,6.83,M,4.97,2.23,M
1908,M,3.62,3.51,4.41,5.67,4.26,4.85,4.86,3.07,6.41,1.44,2.06,M
1909,3.32,2.02,2.87,3.57,6.29,2.82,3.47,3.12,M,M,M,2.2,M
1910,3.33,2.43,1.02,4.24,4.18,10.44,M,M,2.13,M,0.75,2.19,M
1911,4.13,1.84,5.08,5.63,1.75,5.36,3.7,M,1.31,5.74,2.72,3.07,M
1912,M,2.65,6.75,3.41,M,3.2,5.55,1.75,7.87,1.73,1.97,2.5,M
1913,2.69,2.68,6.51,2.82,5.12,4.58,5.38,3.32,2.99,3.05,2.37,2.44,43.95
1914,3.11,4.69,3.95,M,0.76,M,9.6,4.51,2.27,3.6,1.99,M,M
1915,4.22,2.97,M,1.86,3.73,2.72,3.49,5.87,4.62,3.62,1.46,5.45,M
1916,3.12,4.3,2.52,3.28,3.81,8.07,7.79,3.64,3.97,2.88,1.44,2.46,47.28
1917,4.09,3.14,6.62,3.54,3.58,1.34,5.69,1.16,2.36,3.59,0.62,3.17,38.9
1918,7.31,1.38,3.66,6.38,3.9,9.71,8.26,8.1,2.9,5.95,2.07,5.94,65.56
1919,4.85,3.91,3.3,3.26,4.84,7.49,6.22,M,0.31,4.62,2.07,3.55,M
1920,2.59,3.47,3.56,3.21,3.24,4.08,7.05,4.18,3.99,0.04,7.84,2.9,46.15
1921,5.62,3.68,M,1.89,M,3.49,4.95,3.19,3.99,3.06,4,M,M
1922,2.71,M,5.51,1.61,5.46,M,M,2.84,2.8,2.89,M,M,M
1923,3.39,4.17,M,2.28,2.41,6.43,M,M,M,M,3.18,M,M
1924,4.23,2.28,4.32,M,M,2.56,M,6.49,5.75,1.66,2.21,3.82,M
1925,M,M,0.94,2.6,1.43,2.6,2.49,2.07,M,4.38,1.75,M,M
1926,4.26,2.97,2.88,2.12,1.29,1.87,4.06,3.92,2.23,M,2.46,6.62,M
1927,1.32,4.63,1.21,6.41,2.95,1.85,M,M,2.37,4.14,2.66,6.11,M
1928,2.02,M,2.82,3.28,2.5,4.29,2.2,8.41,M,1.84,M,1.03,M
1929,2.43,5.09,4.33,3.4,3.33,M,M,M,1.58,8.11,3.48,2.37,M
1930,M,1.25,1.02,1.54,1.79,1.37,0.93,1.08,2.09,1.33,2.96,3.95,M
1931,1.39,1.69,3.05,4.11,5.11,2.76,6.53,7.28,1.78,1.37,0.47,3.95,39.49
1932,4.39,3.49,4.59,2.69,6.01,6.29,2.85,2.48,1.82,5.28,3.38,4.23,47.5
