Year,January,February,March,April,May,June,July,August,September,October,November,December,Annual
1995,4.36,0.95,2.28,1.77,4.09,3.98,7.38,0.19,3.16,5.2,3.13,M,M
1996,5.32,M,2.63,2.85,4.86,3.24,8.02,3.21,3.76,5.2,3.58,4.52,M
1997,1.7,2.35,4.82,2.73,1.22,3.92,4.93,2.51,2.06,3.16,M,2.46,M
1998,6.03,7.98,6.39,4.97,4.18,7.32,1.5,1.45,1.83,M,1.71,2.17,M
1999,4.81,2.34,5.24,1.74,0.52,1.9,2.33,3.01,11.33,2.26,2.3,1.78,39.56
2000,2.45,1.51,3.76,5.45,2.46,9.74,8.85,3.18,8.26,0.05,1.36,1.9,48.97
2001,2.7,1.33,4.01,1.46,5.23,3.09,5.86,2.2,0.88,0.72,0.9,2.35,30.73
2002,1.54,1,2.82,3.49,2.15,1.9,1.56,4.1,2.15,5.43,4.77,3.94,34.85
2003,2.22,3.26,4.72,3.63,6.87,3.88,4.26,1.67,9.05,3.41,6.43,5.07,54.47
2004,0.85,2.07,1.4,4.12,5.96,3.09,5.32,4.84,6.65,1.44,5.38,1.53,42.65
2005,2.54,1.15,3.16,M,4.97,1.11,7.09,M,1.01,8.36,2.43,3.62,M
2006,2.23,1.15,0.07,3.95,M,5.56,2.54,1.36,9.64,4.46,7.03,1.33,M
2007,3.2,1.46,3.6,M,2.46,3,M,M,1.47,5.48,1.99,M,M
2008,0.61,M,4.06,5.76,7.52,M,3.9,M,5.61,0.91,2.75,2.95,M
2009,2.61,M,M,M,M,7.95,2.27,M,1.92,M,7.08,M,M
2010,M,M,5.53,2.58,2.1,2.41,2.95,5.44,M,5.11,M,1.73,M
2011,M,0.78,M,M,M,2.87,M,M,M,3.27,2.84,5.6,M
2012,1.95,M,M,2.2,M,2.06,5.04,3,2.04,5.14,0.63,3.61,M
2013,3.2,1.41,2.38,2.34,2.98,4.1,2.55,M,1.13,2.98,3.35,5.92,M
2014,2.21,1.82,2.18,5.38,7.01,2.77,1.17,3.52,0.9,2.53,1.95,3.05,34.49
2015,2.83,2.28,M,4.38,2.5,6.81,5.63,0.95,2.49,3.79,2.01,M,M
2016,3.39,3.01,0.84,1.52,8.49,M,2.73,3.62,8.27,M,M,2.14,M
2017,M,0.26,2.27,1.95,M,M,M,5.54,M,2.54,1.64,M,M
2018,M,7.1,M,4.57,M,M,M,M,8.85,M,M,M,M
2019,M,3.81,M,M,M,6.05,M,6.61,M,M,1.69,2.89,M
2020,M,M,M,M,3.4,1.93,M,M,M,M,M,M,M
2021,M,M,M,M,M,M,M,M,M,M,M,M,M
2022,M,M,M,M,M,M,M,M,M,M,3.25,3.87,M
2023,2.49,3.1,0.75,4.13,1.87,4.49,2.87,4.05,3.36,1.17,2.18,5.41,M
2024,6.45,1.57,5.72,2.96,4,0.11,3,6.34,2.22,0.37,M,M,M
