Year,January,February,March,April,May,June,July,August,September,October,November,December,Annual
1995,M,M,M,M,M,M,M,M,M,M,M,1.94,M
1996,10.16,2.07,3.9,2.04,5.85,5.98,4.72,4.61,10.99,5.28,4.36,2,61.96
1997,1.27,M,4.92,1.2,1.55,3.13,2.34,1.91,5.56,1.74,8.6,M,M
1998,5.87,6.96,3.8,4.09,4.09,5.06,0.32,1.95,1.6,0.87,0.75,1.35,36.71
1999,4.91,1.42,3.32,2.13,1.42,1.21,1.44,2.04,10.1,2.13,2.24,2.42,34.78
2000,M,1.49,2.91,2.92,2.66,4.5,2.82,3.67,5.79,0.2,1.86,1.72,M
2001,1.92,1.36,5.58,1.89,5.04,4.87,5.07,7.02,1.39,0.55,0.61,1.37,36.67
2002,1.14,0.24,3.86,4.75,3.66,4.01,2.93,6.23,4.66,5.45,3.39,3.24,43.56
2003,3.17,6.2,3.66,4.03,5.06,8.3,5.51,2.42,11.18,2.44,3.8,3.47,59.24
2004,0.85,2.33,2.37,4.89,4.07,M,3.62,1.8,13.24,1.4,4.11,2.24,M
2005,1.83,1.39,3.1,3.66,5.66,2.14,5.23,3.22,0.83,6.67,4.77,1.63,40.13
2006,1.69,1.66,0.12,2.63,3.27,10.16,2.72,1.08,8.29,4.67,6.72,M,M
2007,1.05,1.22,2.49,4.38,3.54,3.85,1.49,2.67,2.27,3.93,1.6,3.13,31.62
2008,1,1.92,3.86,6.83,5.74,3.76,4.2,3.51,5.08,1.7,3.01,3.39,44
2009,2.01,3.4,2.17,4.05,5.96,4.78,2.38,2.95,1.64,3.11,4.61,7.14,44.2
2010,4.15,3.41,7.27,1.51,3.17,0.88,2.88,4.39,3.13,M,M,3.07,M
2011,1.27,1.67,4.8,8.06,5.82,3.92,M,M,4.82,4.25,2.43,2.99,M
2012,1.51,0.62,3.13,2.26,2.73,2.55,3.24,3.33,M,4.94,1.35,1.33,M
2013,3.84,1.4,3.94,1.46,3.36,6.25,3.21,3.37,1.23,5.89,2.02,5,40.97
2014,1.24,3.24,M,3.34,5.48,5.17,2.4,4.23,1.71,5.17,1.83,3.02,M
2015,3.08,1.74,1.74,3.43,4.95,7.01,4.77,0.81,4.68,6.3,2.42,4,M
2016,4.48,M,1.83,M,M,3.81,M,3.16,6.74,2.12,M,3.25,M
2017,M,M,M,4.42,7.78,0.72,3.28,M,1.13,2.29,1.45,M,M
2018,M,4.05,M,3.93,M,13.18,M,M,M,M,M,M,M
2019,M,M,M,M,M,2.33,4.46,2.91,0.7,3.57,M,2.88,M
2020,4.56,2.89,1.86,4.04,4.97,5.66,2.5,6.51,6.69,M,2.5,4.42,M
2021,M,M,M,3.03,2.04,M,2.77,M,M,M,2.14,M,M
2022,M,M,1.64,M,8.17,M,M,3.45,1.52,4.22,4.21,M,M
2023,1.6,2.42,1.81,2.93,M,4.37,4.1,0.64,M,2.57,2.29,3.59,M
2024,5.6,2.19,3.3,3.45,4.81,0.67,1.37,8.54,5.34,M,M,M,M
