Year,January,February,March,April,May,June,July,August,September,October,November,December,Annual
1893,M,M,M,2.86,M,3.23,3.2,5.06,5.45,6.18,2.4,0.54,M
1894,1.16,3.57,0.45,1.59,5.7,1.29,2.24,1.7,5.96,2.36,0.58,2.45,M
1895,4.4,1.06,2.08,3.88,3.07,2.98,5.01,M,0.2,1.1,1.42,2.76,M
1896,1.75,3.4,3.7,1.19,1.99,5.32,5.67,1.55,7.85,0.16,4.3,T,M
1897,1.56,5.64,2.4,1.7,5.37,2.88,4.15,0.68,0.43,2.55,2.4,3.27,33.03
1898,2.97,0.48,3.9,2.91,4.94,5.13,6.24,9.54,2.23,7.39,1.82,3.6,51.15
1899,1.87,M,4.34,1.21,3.75,1.86,3.15,2.18,4.4,1.75,0.91,1,M
1900,3.2,2.87,3.38,1.7,2.06,8.01,3.46,2.44,3.22,2.45,3.11,1.61,37.51
1901,2.04,0.28,3.86,5.78,5.11,14.37,4.83,6.36,3.84,2.06,1.39,6.36,56.28
1902,2.27,4.62,4.86,1.68,3.34,2.9,1.73,3.54,2.72,3.08,3.5,3.45,37.69
1903,4.26,3.42,4.01,3.13,3.24,6.45,5.3,5.17,2.86,2,0.71,1.15,41.7
1904,2.19,1.56,2.43,2.44,3.16,7.3,6.88,M,1.26,0.92,0.8,2.38,M
1905,3.54,2.12,2.35,1.72,2.84,6.35,7.91,3.07,1.69,2.96,0.77,3.88,39.2
1906,2.56,1.01,4.27,2.11,2.77,7,3.28,6.64,2.84,3.92,1.79,3.57,41.76
1907,2.02,1.77,2.61,3.42,2.62,7.76,3.83,5.27,5.81,0.73,4.15,3.1,43.09
1908,3.2,3,2.09,1.73,8.24,4.92,3.09,4.96,2.61,2.28,1.06,1.81,38.99
1909,1.6,2.64,1.94,3.07,4.06,5.91,2.36,1.84,0.95,2.93,0.9,2.73,30.93
1910,3.15,2.8,1.08,3.64,2.89,11.11,6.59,4.61,2.29,3.33,0.8,2.07,44.36
1911,5.3,1.05,2.18,2.39,0.42,3.28,5.31,5.96,1.72,3.6,2.79,2.95,36.95
1912,1.83,2.24,4.62,3.52,4.2,2.79,3.1,1.75,4.76,0.99,1.69,3.51,35
1913,2.42,1.25,4.96,4.35,4.46,6.16,4.76,3.98,1.57,3.95,4.6,2.15,44.61
1914,3.51,2.98,2.45,4.08,1.64,1.49,4.13,2.6,0.51,3.1,1.74,3.71,31.94
1915,4.23,3.49,1.11,0.67,2.5,4.35,4.47,6.47,3.09,4.27,1.57,2.78,39
1916,1.73,1.75,3.42,2.96,4.01,6.3,5.89,2.79,3.68,1.82,1,2.75,38.1
1917,1.97,1.92,5.26,3.32,3.25,2.59,3.5,2.21,2.17,3.45,0.26,1.72,31.62
1918,3.75,0.76,3.36,4.31,3.97,5.01,3.79,4.27,2.79,2.34,1.16,3.52,39.03
1919,2.67,1.86,2.69,2.4,5.37,3,4.05,3.37,1.26,2.5,2.16,1.99,M
1920,2.03,1.76,2.54,3.51,1.46,2.06,4.49,5.89,2.7,0.19,3.39,2.76,M
1921,1.84,1.25,1.43,1.6,3.63,2.86,4.29,1.8,3.54,1.26,M,1.93,M
1922,2.13,3.65,4.12,1.2,4.53,4.08,5.51,4.29,0.31,2.43,0.37,2.8,35.42
1923,2.79,0.98,2,2.88,1.39,2.09,2.49,7.19,4.62,0.77,2.35,1.47,31.02
1924,3.83,2.42,2.63,2.48,8.68,5,2.71,4.02,5.01,1.47,2.47,1.28,42
1925,3.3,2.01,1.24,3.51,1.01,3.68,7.08,M,1.18,2.84,1.83,1.73,M
1926,3.48,4.2,2.03,2.82,2.78,1.79,8.04,6.38,3.53,3.1,3.23,3.26,44.64
1927,1.05,2.38,0.65,6.02,1.74,1.73,3.67,4.5,0.62,5.73,2.42,2.88,33.39
1928,1.92,2.16,2.01,3.2,2.56,5.12,2.01,8.29,2.96,1.12,0.73,1.36,33.44
1929,2.23,2.29,3.01,3.73,4.98,4.8,4.44,1.34,1.68,4.36,3.34,1.82,M
1930,1.98,1.04,1.65,1.19,1.2,3.95,0.08,1.11,0.85,0.31,0.93,3.04,17.33
1931,0.91,1.56,M,2.27,4.66,3.34,7.1,5.28,2.42,0.65,0.19,1.43,M
1932,3.08,2.67,4.76,1.69,5.1,1.75,4.68,0.95,1.9,7.75,4.45,3.1,41.88
1933,2.74,1.77,2.55,4.87,3.77,1.2,8.59,5.99,3.47,2.06,T,1.54,38.55
1934,0.9,1.57,3.41,1.47,2.7,2.82,2.84,6.46,5.19,1.35,3.36,4.2,36.27
1935,3.26,2.28,3.29,3.64,3.58,3.6,4.03,6.11,4.86,2.25,3.31,1.94,42.15
1936,3.81,M,6.06,2.2,2.57,2.33,2.48,2.35,3.52,5.53,0.58,4.33,M
1937,6,2.51,0.92,4.91,2.97,4.7,4.78,4.95,3.34,7.23,1.92,0.81,45.04
1938,1.39,0.91,1.9,1.37,2.87,4.18,6.08,3.22,3.1,0.56,1.93,3.14,30.65
1939,2.96,4.34,1.98,2.53,2.43,2.91,6.49,3.17,1.77,2.23,1.45,1.34,33.6
1940,1.88,1.42,1.76,2.86,3.91,6.26,6.51,6.83,1.26,1.53,3.84,2.51,40.57
1941,1.62,0.07,M,M,0.61,2.86,5.24,2.95,0.97,1.1,1.4,3.61,M
1942,1.42,1.33,2.45,0.67,7.25,3.93,2.23,7.55,M,6.92,1.4,2.58,M
1943,2.29,0.68,3.41,2,5.07,6.19,7.01,2.66,M,2.37,1.02,1.19,M
1944,1.06,2.61,4.1,1.67,4.28,4.3,1.53,3.19,M,2.19,1.22,1.91,M
1945,1.4,2.05,1.41,1.47,3.99,2.9,4.78,1.42,6.9,0.12,3.27,2.24,31.95
1946,1.42,1.37,2.56,2.18,3.83,5.14,6.67,2.36,1.79,2.54,0.83,1.75,32.44
1947,2.58,1.44,1.52,1.39,2.38,5.44,4.19,2.2,3.62,1.37,3.16,0.74,30.03
1948,1.54,1,4.82,2.71,8.02,3.04,2.76,8.48,5.01,4.18,4.79,3.28,49.63
1949,3.65,1.43,1.38,3.01,4.68,6.33,5.19,8.79,1.28,3.27,1.14,1.84,41.99
1950,2.05,1.7,2.35,1.26,6.94,1.53,2.68,1.57,7.28,1.22,2.16,2.91,33.65
1951,2.04,2.54,3.62,2.88,2,6.96,3.92,3.04,0.68,0.57,3.19,3.96,35.4
1952,3.95,2.07,4.03,4.14,4.77,2.92,2.57,6.89,3.05,1.36,4.67,2.81,43.23
1953,M,2.37,4.43,2.2,5.19,3.33,2.39,2.38,1.6,1.64,1.58,2.68,M
1954,1.49,1.68,4.5,2.39,3.83,4.89,3.65,2.03,1.3,6.28,3.71,2.81,38.56
1955,0.26,2.53,4.65,3.13,2.3,5.13,5.76,8.88,1.7,1.04,1.76,0.26,37.4
1956,1.48,2.88,2.72,2.01,0.97,1.91,8.45,4.32,3.51,2.16,0.56,1.76,32.73
1957,1.63,2.83,1.18,4.88,3.32,4.54,1.71,0.23,4.45,2.9,2.22,2.64,32.53
1958,2.43,2.97,3.07,3.79,4.79,2.34,5.13,6.3,1.58,0.95,1.4,0.66,35.41
1959,1.51,0.66,2.02,3.76,4.22,3.1,4.27,2.98,4.46,4.23,1.11,2.46,34.78
1960,1.4,3.17,1.97,2.2,6.9,3.58,2.85,5.86,4.17,1.25,0.53,0.67,34.55
1961,1.45,2.45,3.09,3.3,3.15,2.55,3.01,5.34,3.74,3.84,2.02,3.15,37.09
1962,1.68,2.6,2.89,2.43,2.71,3.6,2.21,2.66,1.01,2.07,3.94,2.82,30.62
1963,0.82,1.35,5.26,1.29,1.1,1.36,1.29,1.65,2.64,0.03,4.06,1.25,22.1
1964,2.46,2.04,1.75,2.82,2.6,1.95,1.49,1.43,3.32,1.79,1.93,2.48,26.06
1965,2.5,3.19,3.05,2.77,1.9,2.15,1.56,1.46,2.94,2.32,0.92,0.27,25.03
1966,2.62,3.58,0.53,3.92,2.72,1.04,1.86,3.76,6.57,2.56,2.38,1.78,33.32
1967,0.72,0.81,4.54,0.53,3.56,1,4.09,7.35,3.09,2.42,1.21,3.09,32.41
1968,1.05,0.25,3.09,1.42,3.48,2.2,2.11,6.11,3.16,3.42,2.66,1.27,30.22
1969,1.08,1.36,1.23,1.64,1.95,3.08,13.06,5.04,6.27,1.14,1.79,3.67,41.31
1970,0.9,1.86,2.21,2.9,2.96,1.85,3.73,4.52,2.39,4.01,3.15,1.3,31.78
1971,1.74,2.72,M,0.64,5.88,4.07,2.31,2.1,6.14,3.81,1.61,0.51,M
1972,0.94,3.77,1.1,2.25,4.15,7.8,5.13,1.84,M,M,M,M,M
1973,M,2.82,3.59,4.49,3.78,4.07,2.11,4.97,1.58,4.37,1.58,5.9,M
