Year,January,February,March,April,May,June,July,August,September,October,November,December,Annual
1893,1.99,4.43,1.03,3.42,5.15,3.81,4.81,8.65,8.61,8.17,1.41,2.12,53.6
1894,2.11,4.92,0.95,1.64,4.63,1.23,4.87,2.57,4.16,3.64,1.68,3.44,35.84
1895,7.27,1.5,3.43,5.45,5.02,2.05,2.94,1.63,0.56,1.58,1.93,2.8,36.16
1896,2.3,4.54,4.64,1.61,5.01,3.82,8.58,2.04,7.08,1.07,3.92,0.26,44.87
1897,2.19,7.84,3.46,2.08,4.27,2.7,6.75,0.94,1.12,3.12,2.24,3.37,40.08
1898,2.16,0.94,3.25,2.94,9.08,2.98,7.17,2.82,4.5,5.88,2.61,5.67,50
1899,4.95,5.55,9.01,1.52,2.99,4.84,3.07,7.5,4.54,3.87,2.22,1.74,51.8
1900,4.36,4.38,4.35,3.74,4.07,8.31,1.92,2.29,4.78,3.49,2.31,1.47,45.47
1901,3.59,0.78,3.66,5.98,5.34,4.93,4.33,12.36,3.17,0.48,1.47,8.72,54.81
1902,3.91,5.67,4.09,2.92,2.27,3.89,1.66,3.69,2.48,9.86,4.32,4.03,48.79
1903,5.31,5.99,5.05,2.53,1.13,3.9,2.8,6.21,3.02,2.09,1.34,1.67,41.04
1904,1.47,1.91,2.17,0.97,2.76,5.49,3.74,2.7,1.47,0.4,0.98,2.81,26.87
1905,3.56,2.47,2.21,2.33,6.11,4.92,6.86,6.21,2.15,2.46,0.45,5.82,45.55
1906,4.08,1.14,4.93,2.47,3.18,3.21,4.1,4.84,2.34,7.14,2.27,2.93,42.63
1907,0.98,0.78,2.5,3.43,3.32,7,2.63,3.21,10.2,0.6,4.47,4.45,43.57
1908,4.37,2.85,2.71,2.86,3.83,4.58,4.49,6.55,2.22,3.52,1.18,3.54,42.7
1909,1.36,3.09,2.37,2.38,4.58,4.95,1.87,3.2,2.65,1.46,0.52,2.79,31.22
1910,3.44,3.58,0.36,5.87,2.78,6.59,4.19,2.25,3.19,4.54,0.87,2,39.66
1911,4.19,1.23,2.12,4.21,0.66,2.82,5.53,5.73,0.85,3.87,3.22,4.65,39.08
1912,1.85,3.36,8.54,1.89,4.95,2.35,3.64,1.28,6.98,0.96,2.72,2.36,40.88
1913,1.92,1.99,5.52,3.59,4.76,2.48,1.53,2.4,2.44,3.3,3.32,2.56,35.81
1914,2.3,2.8,2.24,1.7,0.59,2.21,4.53,2.6,0.67,4.42,2.31,4.68,31.05
