Year,January,February,March,April,May,June,July,August,September,October,November,December,Annual
1874,2.09,4.79,4.26,5.97,3.97,3.49,8.81,5.24,3.78,0.04,3.39,4.58,50.41
1875,5.89,2.95,8.09,3.23,2.29,1.38,4.72,10.37,2.05,3.21,3.69,3.14,51.01
1876,1.37,3.96,4.1,2.72,4.42,4.1,5.5,4.54,9.09,1.52,3.28,1.94,46.54
1877,3.85,1.47,4.85,9.98,2.84,4.79,7.97,3.78,11.9,7.82,5.55,4.34,69.14
1878,6.02,2.06,1.21,4.5,7.01,5.13,2.02,9.95,2.25,5.03,3.13,4.56,52.87
1879,3.26,2.75,4.29,2.15,2.48,2.57,3.9,9.9,3.77,0.25,0.42,2.34,38.08
1880,1.42,1.69,5.34,1.83,0.54,5.34,7.93,9.9,4.07,3.08,5.64,4.75,51.53
1881,3.55,2.88,3.38,4.06,1.49,3.74,6.47,1.74,2.67,2.43,6.04,1.61,40.06
1882,6.4,3.58,3.33,3.23,5.87,3.12,4.9,4.53,8.07,6.67,1.88,6.09,57.67
1883,6.91,3.84,3.03,9.76,4.09,6.52,3.87,2.91,6.63,3.79,0.55,2.4,54.3
1884,5.94,4.58,9.13,1.95,1.25,6.45,7.06,2.95,0.17,0.47,0.74,4.36,45.05
1885,4.03,3.79,3.04,1.92,6.16,3.48,3.22,2.4,3.31,3.33,4.64,3.94,43.26
1886,2.93,4.03,2.36,3.16,8.32,5.34,4.23,10.23,4.63,1.31,1.94,5.85,54.33
1887,3.64,2.61,4.38,3.37,1.94,2.72,5.33,8.56,3.06,6.38,1.69,4.06,47.74
1888,4.42,2.41,4.55,0.97,8.46,5.79,5.26,7.81,6.1,3.84,3.71,3.22,56.54
1889,4.88,4.21,7.52,11.87,4.58,4.75,10.69,5.93,5.41,7.56,2.55,0.77,70.72
1890,1.13,1.98,4.06,3.7,4.03,2.79,6.33,9.36,6.64,3.96,0.23,6.01,50.22
1891,2.86,5.1,8.09,1.88,3.58,1.56,8.9,5.87,2.43,6.89,2.11,1.36,50.63
1892,4.99,5.22,3.61,6.86,3.76,4.83,8.27,3.56,1.33,0.52,2.38,3.91,49.24
1893,2.55,4.04,3.32,2.07,6.79,8.36,6.11,5.71,6.29,2.86,6.75,3.05,57.9
1894,3.54,5.53,2.94,2.11,3.47,3.36,8.01,8.45,6.49,6.05,0.86,2.28,53.09
1895,4.3,2.62,5.36,6.07,8.6,2.39,4.36,2.58,0.19,1.99,3.41,3.54,45.41
1896,1.89,4.39,1.67,1.18,6.63,7.91,7.26,2.05,3.47,2.15,2.41,3.21,44.22
1897,1.47,4.03,4.38,1.51,5.36,1.98,4.42,2.08,2.01,8.7,2.84,3.88,42.66
1898,1.44,1.48,3.51,6.69,5.12,3.76,8.89,8.48,3.34,5.63,2.9,1.9,53.14
1899,3.05,5.55,6.12,1.95,1.69,5.67,5.87,2.73,0.37,3.47,0.7,1.24,38.41
1900,2.13,3.75,4.16,4.43,2.74,2.52,6.51,3.37,1.92,2.22,3.34,2.25,39.34
1901,2.09,1.15,3.24,4.4,2.59,3.77,3.15,9.92,5.8,2.34,0.81,3.35,42.61
1902,2.15,4.66,2.44,1.79,3.16,2.88,3.74,4.51,4.82,2.86,3.05,2.42,38.48
1903,1.94,3.24,6.01,4.34,2.27,3.4,4,7.68,2.79,6.08,2.14,2.21,46.1
1904,3.19,3.56,3.67,1.13,2.62,4.17,6.56,4.24,4.02,2.26,1.96,5.22,42.6
1905,2.99,4.43,2.8,3.88,2.3,2.26,7.22,6.83,3.92,1.78,0.9,3.98,43.29
1906,2.57,4.35,3.97,1.54,4.99,2.48,8.9,11.2,0.66,4.69,0.91,2.97,49.23
1907,1.03,4.01,3.37,3.21,3.2,3.56,4.46,3.89,3.01,1.19,4.52,3.27,38.72
1908,2.92,2.79,4.5,3.26,3.99,4.56,5.78,8,2.28,2.36,0.83,2.98,44.25
1909,1.49,2.99,1.35,3.11,4.2,6,4.41,5.81,0.56,1.43,0.52,1.91,33.78
1910,2.53,2.1,3.43,2.46,3.48,7.07,6.16,4.05,0.89,3.33,1.02,3.83,40.35
1911,2.39,2.18,3.7,3.3,0.56,3.65,5.1,5.93,0.63,2.77,4.12,4.62,38.95
1912,3.39,2.66,5.18,2.78,1.75,4.63,1.86,2.12,2.61,0.78,1.95,4.65,34.36
1913,3.39,1.97,1.99,0.79,4.31,5.7,10.24,4.14,5.23,2.63,1.3,1.68,43.37
1914,2.32,4.03,3.77,1.88,2.53,3.2,3.91,1.1,2.97,2.39,2.62,4.69,35.41
1915,5.66,1.71,1.14,0.91,4.82,6.52,5.72,2.46,1.76,2.29,0.87,2.26,M
1916,2.07,4.03,1.68,1.95,5.38,1.98,11.73,2.99,3.53,2.62,1.34,3.11,42.41
1917,2.28,1.88,4,2.61,1.98,4.65,3.06,4.54,5.26,2.89,0.59,2.62,36.36
1918,2.77,0.26,3.68,4.81,2.97,3.25,7.21,2.48,3.12,0.79,0.77,2.94,35.05
1919,3.1,2.15,3.36,1.61,3.63,3.48,4.33,3.47,0.7,2.27,3.2,1.71,33.01
1920,2.14,6.33,2.39,4.25,1.99,5.05,3.27,3.82,3.11,0.94,3.64,4.91,41.84
1921,1.55,3.02,1.5,3.02,4.71,1.05,11.92,3.13,2.43,1.28,1.7,3.69,39
