Year,January,February,March,April,May,June,July,August,September,October,November,December,Annual
1887,1.88,4.4,2.38,2.63,3.56,4.45,6.58,8.27,1.19,4.94,2.49,4.04,46.81
1888,2.79,2.39,5.25,2.55,5.7,4.89,1.4,4.19,10.41,3.24,3.15,3.52,49.48
1889,4.77,3.71,3.68,8.89,9.13,7.93,14.01,3.99,5.6,5.15,4.59,0.57,72.02
1890,1.53,3.35,3.34,2.79,4.69,2.21,4.58,5.51,5.5,8.51,0.11,4.48,46.6
1891,4.79,5.68,8.78,1.96,5.18,4.12,4.69,4.8,1.24,2.12,1.88,2.13,47.37
1892,3.96,3.36,3.19,6.77,2.32,3.47,5.11,3.32,3.15,0.83,4.58,1.64,41.7
1893,3.37,4.98,2.44,3.82,5.15,2.62,3.24,3.43,6.86,5.72,3.22,2.39,47.24
1894,3.35,4.51,1.21,3.29,6.74,2.77,4.59,5.12,6.48,4.06,1.68,2.66,46.46
1895,5.25,1.47,4.23,8.31,4.24,2.39,5.01,2.68,0.42,1.69,3.05,2.4,41.14
1896,2.4,4.35,3.7,1.69,3.03,5.58,8.02,0.45,6.2,0.62,3.16,0.89,40.09
1897,1.86,6.4,5.11,2.76,2.48,2.31,4.18,1.83,1.03,M,M,2.63,M
1898,M,1.05,3.78,4.83,5.28,2.98,4.15,6.31,2.33,4.59,2.22,3.08,M
1899,2.94,4.72,5.56,2.04,2.14,2.51,4.12,5.61,6.21,4.03,1.19,2.33,43.4
1900,2.71,4.42,2.89,3.62,2.2,3.08,3.13,3.66,4.03,2.55,2.87,2.6,M
1901,2.8,0.55,3.79,5.29,3.8,2.32,5.06,6.99,3.21,0.79,1.37,6.08,42.05
1902,M,4.84,1.89,3.12,3.42,4.81,6.21,3.1,4.91,5.41,4.83,4.12,M
1903,3.61,5.02,8.14,4.46,3.36,5.73,5.17,3.21,1.6,3.44,1.4,2.28,47.42
1904,2.34,2.71,3.52,1.57,1.45,4.11,6.25,3.83,3,2.8,2.25,3.71,37.54
1905,2.47,4.14,2.18,3.06,4.09,3.72,3.25,4.01,2.61,1.24,0.51,7.1,38.38
1906,2.54,2.57,4.78,2.16,3.37,5.14,6.75,8.68,0.35,7.47,0.87,2.12,46.8
1907,1.22,2.3,2.91,4.87,5.78,6.21,2.99,5.31,6.51,2.3,4.64,3.44,48.48
1908,4.39,3.92,2.96,2.73,6.71,5.72,4.37,10.4,2.74,2.87,1.25,4.72,52.78
1909,3,2.94,4.14,3.21,3.41,4.59,1.25,4.01,2.89,0.77,0.62,3.39,34.22
1910,3.58,2.38,1.42,8.74,2.67,5.67,6.4,2.9,1.07,5.03,0.98,2.5,43.34
1911,3.65,2.2,2.15,4,0.6,2.83,0.57,7.26,1.85,3.61,4.33,4.35,37.4
1912,2.34,3.76,8.18,2.17,4.59,2.5,1.25,1.49,4.2,0.58,1.73,2.84,35.63
1913,2.53,1.51,3.53,2.54,4.8,3.78,3.65,4.59,3.2,3.95,1.49,2.17,37.74
