Year,January,February,March,April,May,June,July,August,September,October,November,December,Annual
1912,M,3.31,7.02,M,M,1.41,4.1,0.63,4.91,1.37,2.29,1.7,M
1913,2.31,1.86,4.38,2.05,5.84,5,2.92,4.27,3.83,4.5,2.09,2.89,41.94
1914,M,4.07,3.51,1.71,0.63,3.73,5.8,1.8,1.52,6.97,3.73,M,M
1915,4,2.68,1.53,0.79,2.23,2.95,1.99,7.17,5.76,6.95,1.82,3.37,41.24
1916,1.81,4.13,1.56,1.49,2.13,6.91,6.38,5.01,2.63,M,M,1.23,M
1917,2.8,2.08,M,3.25,2.09,2.67,3.96,0.76,1.71,2.63,0.49,2.22,M
1918,4.85,0.78,3.88,6.19,2.59,5.12,3.95,5.84,4.08,4.27,1.27,4.03,46.85
1919,3.98,2.58,3.33,2.76,3.4,8.03,4.39,2.38,0.56,3.53,1.87,2.26,39.07
1920,2.12,3.03,2.23,M,2.62,M,M,6.73,2.82,0.22,6.41,2.81,M
1921,4.75,2.56,1.33,2.77,2.64,3.22,5.46,2.05,2.18,3.94,2.88,M,M
1922,3.2,4.18,M,1.01,4.14,3.27,4.26,3.48,0.32,3.51,0.23,3.84,M
1923,2.88,3.12,4.06,2.25,1.64,3.57,4.85,7.1,3.58,1.54,2.88,4.06,41.53
1924,5.08,M,3.12,3.77,4.94,3.13,4.26,2.46,7.83,1.2,2.03,3.05,M
1925,4.75,1.56,0.72,3.32,1.85,1.55,4.45,1.52,3,2.66,2.57,1.8,29.75
1926,4.51,2.72,2.89,1.64,1.08,1.83,5.15,4.01,2.11,3.85,5.26,5.17,40.22
1927,1.16,4.05,1.23,5.77,1.85,2.28,7.92,7.57,0.5,4.02,M,4.75,M
1928,1.83,2.1,M,4.18,M,2.22,2.16,9.73,9.52,1.02,0.78,0.66,M
1929,3.07,M,4.11,3.95,4.72,7.01,3.98,1.74,2.65,M,M,2.75,M
1930,2.86,0.97,2.61,1.46,1.85,M,1.19,1.43,0.69,1.29,M,4.15,M
1931,1.61,M,M,3.46,5.67,3.81,5.35,10.01,1.59,0.94,0.16,3.03,M
1932,3.92,1.58,5.09,2.13,3.54,2.43,3.32,1.57,1.25,12.01,5.07,3.69,45.6
1933,2.71,2.13,4.14,4.18,4.2,1.59,6.04,3.23,0.18,1.04,1.83,3.17,34.44
1934,1.02,3.45,5.01,2.46,1.96,4.5,8.19,3.33,5.02,2.43,9.22,1.46,48.05
1935,5.31,2.53,5.75,4.05,2.87,5.16,2.99,3.22,4.92,2.47,2.9,3.16,45.33
1936,7.73,3.88,6.56,3.03,1.42,3.46,1.5,2.28,3.56,5.54,0.34,5.35,44.65
1937,7.68,2.17,1.36,4.8,1.53,3.84,6.52,10.92,2.31,9.71,3.71,1.09,55.64
1938,2.52,0.51,2.04,1.82,3.39,8.04,6.86,2.44,1.23,0.59,6.18,2.23,37.85
1939,3.12,4.66,2.44,1.8,1.59,3.17,6.36,6,3,1.13,1.87,1.95,37.09
1940,2.23,2.56,1.6,3.19,10.14,1.96,8.18,16.71,0.66,1.2,4.04,3.68,56.15
1941,1.55,0.67,2.11,3.34,2.15,6.05,5.39,1.03,1.52,0.95,1.07,4.09,29.92
1942,1.68,1.22,3,0.38,7.36,5.86,3.02,9.84,5.84,5.17,1.54,3.82,48.73
1943,2.88,1.41,M,4.27,4.67,4.58,3.09,1.81,1.28,2.08,1.5,2.83,M
1944,2.38,5.36,4.87,1.44,4.08,1.73,4.51,2.88,10.39,4.93,1.78,2.88,47.23
1945,2.04,2.9,2.85,2.29,2.79,2.39,4.78,1.16,12.06,0.83,3.56,4.92,42.57
1946,3.25,3.38,2.74,3.52,5.66,3.44,4.28,2.09,2.32,4.03,1.3,2.7,38.71
1947,5.48,1.74,2.33,2.91,M,7.02,4.62,5.41,3.88,7.26,4.27,0.8,M
1948,3.64,2.49,4.78,3.51,5.7,5.64,3.84,8.59,4.6,2.55,6.36,7.11,58.81
1949,4.35,1.93,2.91,5.15,3.37,6.81,7.85,9.12,1.46,3.29,1.68,1.8,49.72
1950,2.4,2.61,2.17,1.71,8.42,2.73,5.21,2.74,6.1,2.43,1.26,3.91,41.69
1951,1.03,2.19,4.06,4.47,1.33,5.37,2.33,1.63,1.84,1.12,3.4,3.83,32.6
1952,4.44,2.58,3.67,4.76,3.53,2.12,1.86,7.79,0.89,1.17,3.16,3.14,39.11
1953,2.78,3.08,5.13,2.69,4.12,5.34,1.47,2.08,1.47,0.42,1.03,3.81,33.42
1954,4.77,3.83,2.76,1.08,3.42,2.82,3.27,3.18,1.13,6.76,2.91,3.95,39.88
1955,1.19,3.87,4.84,3.84,3.12,3.7,2.73,4.7,1.64,1.61,1.88,0.84,33.96
1956,0.6,4.87,2.22,3.12,1.58,1.72,2.85,2.58,5.74,6.8,1.84,1.91,35.83
1957,3.74,5.31,1.48,4.55,2.23,5.35,1.13,1.2,7.06,2.37,3.39,2.46,40.27
1958,3.66,3.4,4.76,2.83,5,1.88,6.21,3.28,1.56,1.12,1.66,4.15,39.51
1959,2.37,1.04,3.38,4.27,3.17,2.82,2.81,4.49,4.95,3.97,1.94,2.18,37.39
1960,1.92,7.17,3.96,2.19,5.91,1.46,2.06,4.69,3.3,3.62,0.44,2.23,38.95
1961,1.61,4.5,4.17,3.86,2.05,3.79,1.59,5.41,1.79,3.35,3.62,5.07,40.81
1962,2.54,3.22,4.76,1.69,2.7,3.08,5.34,3.55,3.66,2.22,5.11,3.35,41.22
1963,1.1,1.97,3.89,0.87,1.94,2.61,2.68,1.81,2.87,0.27,3.8,1.86,25.67
1964,5.2,5.33,1.81,3.54,1.79,1.97,3.37,3.54,2.7,2.8,3.09,2.73,37.87
1965,3.72,3.53,3.93,1.7,3.83,1.83,5.5,1.16,1.97,3.42,0.95,0.18,31.72
1966,4.26,4.78,0.43,2.59,3.49,1.54,3,4.73,7.25,4.04,1.73,3.25,41.09
1967,1.25,2.51,4.51,1.67,3.95,3.19,4.05,6.36,1.78,2.42,1.3,4.84,37.83
1968,3.33,0.56,3.03,2.73,1.89,2.11,2.95,5.36,0.44,8.06,2.82,1.8,35.08
1969,1.86,2.74,3.35,1.4,1.58,4.95,5.35,5.41,2.79,2.22,1.4,5.54,38.59
1970,1.31,2.36,1.95,2.8,1.51,4.87,3.28,6.4,1.99,7.51,3.67,2.81,40.46
