Year,January,February,March,April,May,June,July,August,September,October,November,December,Annual
1962,1.72,M,M,3.42,3.51,4.4,0.86,0.23,2.45,M,M,M,M
1963,M,M,4.34,1.17,1.52,8.59,1.25,4.7,3.3,M,7.83,2.26,M
1964,5.56,4.5,2.82,3.68,0.8,1.36,3.09,2.49,3.72,1.96,1.8,4.19,35.97
1965,3.24,2.58,4.27,2.53,1.77,1.75,3.94,3.75,2.28,1.87,0.46,0.42,28.86
1966,4.22,3.9,1.24,4.38,3.84,0.94,2.17,1.79,9.39,3.01,1.5,3.67,40.05
1967,1.12,2.18,4.74,0.93,4.37,1.68,3.38,9.28,0.62,2.79,2.61,5.69,39.39
1968,2.31,0.68,3.36,1.29,5.9,5.2,4.08,4.9,2.1,2.77,3.57,2.32,38.48
1969,2.07,1.69,2.04,1.34,0.99,5.55,4.9,5.07,4.89,0.85,2.11,6.74,38.24
1970,1.32,2.76,2.98,4.19,2.86,2.48,6,2.65,1.03,2.79,6,3.88,38.94
1971,2.27,4.68,2.27,2.56,8.47,2.81,2.15,4.45,3.63,9.19,3.13,1,46.61
1972,2.28,5.44,2.37,4.4,4.76,18.19,1.53,2.09,1.4,3.44,7.09,6.06,59.05
1973,2.25,2.84,2.66,7.35,3.97,1.91,4.99,3.18,3.14,2.67,0.81,5.72,41.49
1974,3.07,1.14,3.09,2.14,3.78,5.41,2.69,4.84,4.02,0.71,1.97,5.26,38.12
1975,2.76,1.97,4.38,2.58,2.99,7.08,6.25,5.38,11.26,2.34,1.64,4.01,52.64
1976,2.81,1.42,4.15,1.31,4.18,2.88,2.33,3.13,3.75,7.88,0.57,1.78,36.19
1977,1.1,0.49,3.59,2.58,2.33,3.09,3.25,4.18,1.74,4.19,4.51,4.87,35.92
1978,6.55,0.25,2.85,1.62,5.05,4.36,4.52,4.29,0.78,0.79,3.02,3.58,37.66
1979,6.61,5.75,3.5,2.05,4.89,4.64,2.18,6.05,7.58,8.65,2.65,0.88,55.43
1980,2.95,1,4.82,3.64,3.86,1.89,4.41,1.67,2.7,2.77,3.42,0.68,33.81
1981,0.4,4.1,0.99,3.05,4.36,3.86,4.05,3.55,2.07,3,0.24,2.46,32.13
1982,2.1,4.09,3.47,2.82,3.57,5.49,2.11,3.36,4.22,2.21,2.87,2.25,38.56
1983,1.4,3.74,4.21,7.24,3.63,4.01,0.94,1.34,2.95,6,5.06,5.66,46.18
1984,1.42,4.13,5.81,5.01,4.23,2.19,2.46,10.71,1.49,1.73,3.64,1.25,44.07
1985,2.32,3.73,1.7,0.33,4.82,1.14,2.34,3.35,2.96,4.06,5.27,0.92,32.94
1986,1.58,3.16,1.12,3.01,1.19,1.4,1.86,5.72,1.04,1.3,4.17,4.83,30.38
1987,4.53,2.47,1.46,4.61,2.33,3.38,3.04,0.96,8.11,2.51,5.02,2.35,40.77
1988,2.47,2.06,2.31,2.35,10.26,0.52,7.12,3.92,1.8,1.6,4.48,0.92,39.81
