Date,Value
1902-01-01,3.35
1902-02-01,0.74
1902-03-01,3.42
1902-04-01,1.75
1902-05-01,1.85
1902-06-01,2.9
1902-07-01,4.09
1902-08-01,1.06
1902-09-01,2.22
1902-10-01,3.06
1902-11-01,4.55
1902-12-01,7.48
1903-01-01,3.35
1903-02-01,5.61
1903-03-01,3.42
1903-04-01,1.75
1903-05-01,1.85
1903-06-01,2.9
1903-07-01,6.29
1903-08-01,3.68
1903-09-01,4.96
1903-10-01,1.87
1903-11-01,1.94
1903-12-01,7.48
1904-01-01,3.35
1904-02-01,5.61
1904-03-01,3.42
1904-04-01,1.75
1904-05-01,1.85
1904-06-01,7.42
1904-07-01,4.13
1904-08-01,3.68
1904-09-01,4.96
1904-10-01,0.13
1904-11-01,1.94
1904-12-01,7.48
1905-01-01,3.35
1905-02-01,5.61
1905-03-01,3.42
1905-04-01,1.75
1905-05-01,1.85
1905-06-01,7.42
1905-07-01,12.49
1905-08-01,6.2
1905-09-01,2.2
1905-10-01,3.01
1905-11-01,1.94
1905-12-01,3.76
1906-01-01,4.17
1906-02-01,5.61
1906-03-01,3.42
1906-04-01,1.75
1906-05-01,1.85
1906-06-01,7.42
1906-07-01,12.49
1906-08-01,6.2
1906-09-01,2.2
1906-10-01,3.01
1906-11-01,2.23
1906-12-01,3.04
1907-01-01,1.97
1907-02-01,2.02
1907-03-01,3.42
1907-04-01,4.39
1907-05-01,2.7
1907-06-01,7.42
1907-07-01,12.49
1907-08-01,6.2
1907-09-01,6.83
1907-10-01,3.01
1907-11-01,4.97
1907-12-01,2.23
1908-01-01,1.97
1908-02-01,3.62
1908-03-01,3.51
1908-04-01,4.41
1908-05-01,5.67
1908-06-01,4.26
1908-07-01,4.85
1908-08-01,4.86
1908-09-01,3.07
1908-10-01,6.41
1908-11-01,1.44
1908-12-01,2.06
1909-01-01,3.32
1909-02-01,2.02
1909-03-01,2.87
1909-04-01,3.57
1909-05-01,6.29
1909-06-01,2.82
1909-07-01,3.47
1909-08-01,3.12
1909-09-01,3.07
1909-10-01,6.41
1909-11-01,1.44
1909-12-01,2.2
1910-01-01,3.33
1910-02-01,2.43
1910-03-01,1.02
1910-04-01,4.24
1910-05-01,4.18
1910-06-01,10.44
1910-07-01,3.47
1910-08-01,3.12
1910-09-01,2.13
1910-10-01,6.41
1910-11-01,0.75
1910-12-01,2.19
1911-01-01,4.13
1911-02-01,1.84
1911-03-01,5.08
1911-04-01,5.63
1911-05-01,1.75
1911-06-01,5.36
1911-07-01,3.7
1911-08-01,3.12
1911-09-01,1.31
1911-10-01,5.74
1911-11-01,2.72
1911-12-01,3.07
1912-01-01,4.13
1912-02-01,2.65
1912-03-01,6.75
1912-04-01,3.41
1912-05-01,1.75
1912-06-01,3.2
1912-07-01,5.55
1912-08-01,1.75
1912-09-01,7.87
1912-10-01,1.73
1912-11-01,1.97
1912-12-01,2.5
1913-01-01,2.69
1913-02-01,2.68
1913-03-01,6.51
1913-04-01,2.82
1913-05-01,5.12
1913-06-01,4.58
1913-07-01,5.38
1913-08-01,3.32
1913-09-01,2.99
1913-10-01,3.05
1913-11-01,2.37
1913-12-01,2.44
1914-01-01,3.11
1914-02-01,4.69
1914-03-01,3.95
1914-04-01,2.82
1914-05-01,0.76
1914-06-01,4.58
1914-07-01,9.6
1914-08-01,4.51
1914-09-01,2.27
1914-10-01,3.6
1914-11-01,1.99
1914-12-01,2.44
1915-01-01,4.22
1915-02-01,2.97
1915-03-01,3.95
1915-04-01,1.86
1915-05-01,3.73
1915-06-01,2.72
1915-07-01,3.49
1915-08-01,5.87
1915-09-01,4.62
1915-10-01,3.62
1915-11-01,1.46
1915-12-01,5.45
1916-01-01,3.12
1916-02-01,4.3
1916-03-01,2.52
1916-04-01,3.28
1916-05-01,3.81
1916-06-01,8.07
1916-07-01,7.79
1916-08-01,3.64
1916-09-01,3.97
1916-10-01,2.88
1916-11-01,1.44
1916-12-01,2.46
1917-01-01,4.09
1917-02-01,3.14
1917-03-01,6.62
1917-04-01,3.54
1917-05-01,3.58
1917-06-01,1.34
1917-07-01,5.69
1917-08-01,1.16
1917-09-01,2.36
1917-10-01,3.59
1917-11-01,0.62
1917-12-01,3.17
1918-01-01,7.31
1918-02-01,1.38
1918-03-01,3.66
1918-04-01,6.38
1918-05-01,3.9
1918-06-01,9.71
1918-07-01,8.26
1918-08-01,8.1
1918-09-01,2.9
1918-10-01,5.95
1918-11-01,2.07
1918-12-01,5.94
1919-01-01,4.85
1919-02-01,3.91
1919-03-01,3.3
1919-04-01,3.26
1919-05-01,4.84
1919-06-01,7.49
1919-07-01,6.22
1919-08-01,8.1
1919-09-01,0.31
1919-10-01,4.62
1919-11-01,2.07
1919-12-01,3.55
1920-01-01,2.59
1920-02-01,3.47
1920-03-01,3.56
1920-04-01,3.21
1920-05-01,3.24
1920-06-01,4.08
1920-07-01,7.05
1920-08-01,4.18
1920-09-01,3.99
1920-10-01,0.04
1920-11-01,7.84
1920-12-01,2.9
1921-01-01,5.62
1921-02-01,3.68
1921-03-01,3.56
1921-04-01,1.89
1921-05-01,3.24
1921-06-01,3.49
1921-07-01,4.95
1921-08-01,3.19
1921-09-01,3.99
1921-10-01,3.06
1921-11-01,4.0
1921-12-01,2.9
1922-01-01,2.71
1922-02-01,3.68
1922-03-01,5.51
1922-04-01,1.61
1922-05-01,5.46
1922-06-01,3.49
1922-07-01,4.95
1922-08-01,2.84
1922-09-01,2.8
1922-10-01,2.89
1922-11-01,4.0
1922-12-01,2.9
1923-01-01,3.39
1923-02-01,4.17
1923-03-01,5.51
1923-04-01,2.28
1923-05-01,2.41
1923-06-01,6.43
1923-07-01,4.95
1923-08-01,2.84
1923-09-01,2.8
1923-10-01,2.89
1923-11-01,3.18
1923-12-01,2.9
1924-01-01,4.23
1924-02-01,2.28
1924-03-01,4.32
1924-04-01,2.28
1924-05-01,2.41
1924-06-01,2.56
1924-07-01,4.95
1924-08-01,6.49
1924-09-01,5.75
1924-10-01,1.66
1924-11-01,2.21
1924-12-01,3.82
1925-01-01,4.23
1925-02-01,2.28
1925-03-01,0.94
1925-04-01,2.6
1925-05-01,1.43
1925-06-01,2.6
1925-07-01,2.49
1925-08-01,2.07
1925-09-01,5.75
1925-10-01,4.38
1925-11-01,1.75
1925-12-01,3.82
1926-01-01,4.26
1926-02-01,2.97
1926-03-01,2.88
1926-04-01,2.12
1926-05-01,1.29
1926-06-01,1.87
1926-07-01,4.06
1926-08-01,3.92
1926-09-01,2.23
1926-10-01,4.38
1926-11-01,2.46
1926-12-01,6.62
1927-01-01,1.32
1927-02-01,4.63
1927-03-01,1.21
1927-04-01,6.41
1927-05-01,2.95
1927-06-01,1.85
1927-07-01,4.06
1927-08-01,3.92
1927-09-01,2.37
1927-10-01,4.14
1927-11-01,2.66
1927-12-01,6.11
1928-01-01,2.02
1928-02-01,4.63
1928-03-01,2.82
1928-04-01,3.28
1928-05-01,2.5
1928-06-01,4.29
1928-07-01,2.2
1928-08-01,8.41
1928-09-01,2.37
1928-10-01,1.84
1928-11-01,2.66
1928-12-01,1.03
1929-01-01,2.43
1929-02-01,5.09
1929-03-01,4.33
1929-04-01,3.4
1929-05-01,3.33
