Date,Value
1996-01-01,5.32
1996-02-01,0.95
1996-03-01,2.63
1996-04-01,2.85
1996-05-01,4.86
1996-06-01,3.24
1996-07-01,8.02
1996-08-01,3.21
1996-09-01,3.76
1996-10-01,5.2
1996-11-01,3.58
1996-12-01,4.52
1997-01-01,1.7
1997-02-01,2.35
1997-03-01,4.82
1997-04-01,2.73
1997-05-01,1.22
1997-06-01,3.92
1997-07-01,4.93
1997-08-01,2.51
1997-09-01,2.06
1997-10-01,3.16
1997-11-01,3.58
1997-12-01,2.46
1998-01-01,6.03
1998-02-01,7.98
1998-03-01,6.39
1998-04-01,4.97
1998-05-01,4.18
1998-06-01,7.32
1998-07-01,1.5
1998-08-01,1.45
1998-09-01,1.83
1998-10-01,3.16
1998-11-01,1.71
1998-12-01,2.17
1999-01-01,4.81
1999-02-01,2.34
1999-03-01,5.24
1999-04-01,1.74
1999-05-01,0.52
1999-06-01,1.9
1999-07-01,2.33
1999-08-01,3.01
1999-09-01,11.33
1999-10-01,2.26
1999-11-01,2.3
1999-12-01,1.78
2000-01-01,2.45
2000-02-01,1.51
2000-03-01,3.76
2000-04-01,5.45
2000-05-01,2.46
2000-06-01,9.74
2000-07-01,8.85
2000-08-01,3.18
2000-09-01,8.26
2000-10-01,0.05
2000-11-01,1.36
2000-12-01,1.9
2001-01-01,2.7
2001-02-01,1.33
2001-03-01,4.01
2001-04-01,1.46
2001-05-01,5.23
2001-06-01,3.09
2001-07-01,5.86
2001-08-01,2.2
2001-09-01,0.88
2001-10-01,0.72
2001-11-01,0.9
2001-12-01,2.35
2002-01-01,1.54
2002-02-01,1.0
2002-03-01,2.82
2002-04-01,3.49
2002-05-01,2.15
2002-06-01,1.9
2002-07-01,1.56
2002-08-01,4.1
2002-09-01,2.15
2002-10-01,5.43
2002-11-01,4.77
2002-12-01,3.94
2003-01-01,2.22
2003-02-01,3.26
2003-03-01,4.72
2003-04-01,3.63
2003-05-01,6.87
2003-06-01,3.88
2003-07-01,4.26
2003-08-01,1.67
2003-09-01,9.05
2003-10-01,3.41
2003-11-01,6.43
2003-12-01,5.07
2004-01-01,0.85
2004-02-01,2.07
2004-03-01,1.4
2004-04-01,4.12
2004-05-01,5.96
2004-06-01,3.09
2004-07-01,5.32
2004-08-01,4.84
2004-09-01,6.65
2004-10-01,1.44
2004-11-01,5.38
2004-12-01,1.53
2005-01-01,2.54
2005-02-01,1.15
2005-03-01,3.16
2005-04-01,4.12
2005-05-01,4.97
2005-06-01,1.11
2005-07-01,7.09
2005-08-01,4.84
2005-09-01,1.01
2005-10-01,8.36
2005-11-01,2.43
2005-12-01,3.62
2006-01-01,2.23
2006-02-01,1.15
2006-03-01,0.07
2006-04-01,3.95
2006-05-01,4.97
2006-06-01,5.56
2006-07-01,2.54
2006-08-01,1.36
2006-09-01,9.64
2006-10-01,4.46
2006-11-01,7.03
2006-12-01,1.33
2007-01-01,3.2
2007-02-01,1.46
2007-03-01,3.6
2007-04-01,3.95
2007-05-01,2.46
2007-06-01,3.0
2007-07-01,2.54
2007-08-01,1.36
2007-09-01,1.47
2007-10-01,5.48
2007-11-01,1.99
2007-12-01,1.33
2008-01-01,0.61
2008-02-01,1.46
2008-03-01,4.06
2008-04-01,5.76
2008-05-01,7.52
2008-06-01,3.0
2008-07-01,3.9
2008-08-01,1.36
2008-09-01,5.61
2008-10-01,0.91
2008-11-01,2.75
2008-12-01,2.95
2009-01-01,2.61
2009-02-01,1.46
2009-03-01,4.06
2009-04-01,5.76
2009-05-01,7.52
2009-06-01,7.95
2009-07-01,2.27
2009-08-01,1.36
2009-09-01,1.92
2009-10-01,0.91
2009-11-01,7.08
2009-12-01,2.95
2010-01-01,2.61
2010-02-01,1.46
2010-03-01,5.53
2010-04-01,2.58
2010-05-01,2.1
2010-06-01,2.41
2010-07-01,2.95
2010-08-01,5.44
2010-09-01,1.92
2010-10-01,5.11
2010-11-01,7.08
2010-12-01,1.73
2011-01-01,2.61
2011-02-01,0.78
2011-03-01,5.53
2011-04-01,2.58
2011-05-01,2.1
2011-06-01,2.87
2011-07-01,2.95
2011-08-01,5.44
2011-09-01,1.92
2011-10-01,3.27
2011-11-01,2.84
2011-12-01,5.6
2012-01-01,1.95
2012-02-01,0.78
2012-03-01,5.53
2012-04-01,2.2
2012-05-01,2.1
2012-06-01,2.06
2012-07-01,5.04
2012-08-01,3.0
2012-09-01,2.04
2012-10-01,5.14
2012-11-01,0.63
2012-12-01,3.61
2013-01-01,3.2
2013-02-01,1.41
2013-03-01,2.38
2013-04-01,2.34
2013-05-01,2.98
2013-06-01,4.1
2013-07-01,2.55
2013-08-01,3.0
2013-09-01,1.13
2013-10-01,2.98
2013-11-01,3.35
2013-12-01,5.92
