Date,Value
1894-01-01,1.16
1894-02-01,3.57
1894-03-01,0.45
1894-04-01,1.59
1894-05-01,5.7
1894-06-01,1.29
1894-07-01,2.24
1894-08-01,1.7
1894-09-01,5.96
1894-10-01,2.36
1894-11-01,0.58
1894-12-01,2.45
1895-01-01,4.4
1895-02-01,1.06
1895-03-01,2.08
1895-04-01,3.88
1895-05-01,3.07
1895-06-01,2.98
1895-07-01,5.01
1895-08-01,1.7
1895-09-01,0.2
1895-10-01,1.1
1895-11-01,1.42
1895-12-01,2.76
1896-01-01,1.75
1896-02-01,3.4
1896-03-01,3.7
1896-04-01,1.19
1896-05-01,1.99
1896-06-01,5.32
1896-07-01,5.67
1896-08-01,1.55
1896-09-01,7.85
1896-10-01,0.16
1896-11-01,4.3
1896-12-01,2.76
1897-01-01,1.56
1897-02-01,5.64
1897-03-01,2.4
1897-04-01,1.7
1897-05-01,5.37
1897-06-01,2.88
1897-07-01,4.15
1897-08-01,0.68
1897-09-01,0.43
1897-10-01,2.55
1897-11-01,2.4
1897-12-01,3.27
1898-01-01,2.97
1898-02-01,0.48
1898-03-01,3.9
1898-04-01,2.91
1898-05-01,4.94
1898-06-01,5.13
1898-07-01,6.24
1898-08-01,9.54
1898-09-01,2.23
1898-10-01,7.39
1898-11-01,1.82
1898-12-01,3.6
1899-01-01,1.87
1899-02-01,0.48
1899-03-01,4.34
1899-04-01,1.21
1899-05-01,3.75
1899-06-01,1.86
1899-07-01,3.15
1899-08-01,2.18
1899-09-01,4.4
1899-10-01,1.75
1899-11-01,0.91
1899-12-01,1.0
1900-01-01,3.2
1900-02-01,2.87
1900-03-01,3.38
1900-04-01,1.7
1900-05-01,2.06
1900-06-01,8.01
1900-07-01,3.46
1900-08-01,2.44
1900-09-01,3.22
1900-10-01,2.45
1900-11-01,3.11
1900-12-01,1.61
1901-01-01,2.04
1901-02-01,0.28
1901-03-01,3.86
1901-04-01,5.78
1901-05-01,5.11
1901-06-01,14.37
1901-07-01,4.83
1901-08-01,6.36
1901-09-01,3.84
1901-10-01,2.06
1901-11-01,1.39
1901-12-01,6.36
1902-01-01,2.27
1902-02-01,4.62
1902-03-01,4.86
1902-04-01,1.68
1902-05-01,3.34
1902-06-01,2.9
1902-07-01,1.73
1902-08-01,3.54
1902-09-01,2.72
1902-10-01,3.08
1902-11-01,3.5
1902-12-01,3.45
1903-01-01,4.26
1903-02-01,3.42
1903-03-01,4.01
1903-04-01,3.13
1903-05-01,3.24
1903-06-01,6.45
1903-07-01,5.3
1903-08-01,5.17
1903-09-01,2.86
1903-10-01,2.0
1903-11-01,0.71
1903-12-01,1.15
1904-01-01,2.19
1904-02-01,1.56
1904-03-01,2.43
1904-04-01,2.44
1904-05-01,3.16
1904-06-01,7.3
1904-07-01,6.88
1904-08-01,5.17
1904-09-01,1.26
1904-10-01,0.92
1904-11-01,0.8
1904-12-01,2.38
1905-01-01,3.54
1905-02-01,2.12
1905-03-01,2.35
1905-04-01,1.72
1905-05-01,2.84
1905-06-01,6.35
1905-07-01,7.91
1905-08-01,3.07
1905-09-01,1.69
1905-10-01,2.96
1905-11-01,0.77
1905-12-01,3.88
1906-01-01,2.56
1906-02-01,1.01
1906-03-01,4.27
1906-04-01,2.11
1906-05-01,2.77
1906-06-01,7.0
1906-07-01,3.28
1906-08-01,6.64
1906-09-01,2.84
1906-10-01,3.92
1906-11-01,1.79
1906-12-01,3.57
1907-01-01,2.02
1907-02-01,1.77
1907-03-01,2.61
1907-04-01,3.42
1907-05-01,2.62
1907-06-01,7.76
1907-07-01,3.83
1907-08-01,5.27
1907-09-01,5.81
1907-10-01,0.73
1907-11-01,4.15
1907-12-01,3.1
1908-01-01,3.2
1908-02-01,3.0
1908-03-01,2.09
1908-04-01,1.73
1908-05-01,8.24
1908-06-01,4.92
1908-07-01,3.09
1908-08-01,4.96
1908-09-01,2.61
1908-10-01,2.28
