Date,Value
1893-01-01,1.99
1893-02-01,4.43
1893-03-01,1.03
1893-04-01,3.42
1893-05-01,5.15
1893-06-01,3.81
1893-07-01,4.81
1893-08-01,8.65
1893-09-01,8.61
1893-10-01,8.17
1893-11-01,1.41
1893-12-01,2.12
1894-01-01,2.11
1894-02-01,4.92
1894-03-01,0.95
1894-04-01,1.64
1894-05-01,4.63
1894-06-01,1.23
1894-07-01,4.87
1894-08-01,2.57
1894-09-01,4.16
1894-10-01,3.64
1894-11-01,1.68
1894-12-01,3.44
1895-01-01,7.27
1895-02-01,1.5
1895-03-01,3.43
1895-04-01,5.45
1895-05-01,5.02
1895-06-01,2.05
1895-07-01,2.94
1895-08-01,1.63
1895-09-01,0.56
1895-10-01,1.58
1895-11-01,1.93
1895-12-01,2.8
1896-01-01,2.3
1896-02-01,4.54
1896-03-01,4.64
1896-04-01,1.61
1896-05-01,5.01
1896-06-01,3.82
1896-07-01,8.58
1896-08-01,2.04
1896-09-01,7.08
1896-10-01,1.07
1896-11-01,3.92
1896-12-01,0.26
1897-01-01,2.19
1897-02-01,7.84
1897-03-01,3.46
1897-04-01,2.08
1897-05-01,4.27
1897-06-01,2.7
1897-07-01,6.75
1897-08-01,0.94
1897-09-01,1.12
1897-10-01,3.12
1897-11-01,2.24
1897-12-01,3.37
1898-01-01,2.16
1898-02-01,0.94
1898-03-01,3.25
1898-04-01,2.94
1898-05-01,9.08
1898-06-01,2.98
1898-07-01,7.17
1898-08-01,2.82
1898-09-01,4.5
1898-10-01,5.88
1898-11-01,2.61
1898-12-01,5.67
1899-01-01,4.95
1899-02-01,5.55
1899-03-01,9.01
1899-04-01,1.52
1899-05-01,2.99
1899-06-01,4.84
1899-07-01,3.07
1899-08-01,7.5
1899-09-01,4.54
1899-10-01,3.87
1899-11-01,2.22
1899-12-01,1.74
1900-01-01,4.36
1900-02-01,4.38
1900-03-01,4.35
1900-04-01,3.74
1900-05-01,4.07
1900-06-01,8.31
1900-07-01,1.92
1900-08-01,2.29
1900-09-01,4.78
1900-10-01,3.49
1900-11-01,2.31
1900-12-01,1.47
1901-01-01,3.59
1901-02-01,0.78
1901-03-01,3.66
1901-04-01,5.98
1901-05-01,5.34
1901-06-01,4.93
1901-07-01,4.33
1901-08-01,12.36
1901-09-01,3.17
1901-10-01,0.48
1901-11-01,1.47
1901-12-01,8.72
1902-01-01,3.91
1902-02-01,5.67
1902-03-01,4.09
1902-04-01,2.92
1902-05-01,2.27
1902-06-01,3.89
1902-07-01,1.66
1902-08-01,3.69
1902-09-01,2.48
1902-10-01,9.86
1902-11-01,4.32
1902-12-01,4.03
1903-01-01,5.31
1903-02-01,5.99
1903-03-01,5.05
1903-04-01,2.53
1903-05-01,1.13
1903-06-01,3.9
1903-07-01,2.8
1903-08-01,6.21
1903-09-01,3.02
1903-10-01,2.09
1903-11-01,1.34
1903-12-01,1.67
1904-01-01,1.47
1904-02-01,1.91
1904-03-01,2.17
1904-04-01,0.97
1904-05-01,2.76
1904-06-01,5.49
1904-07-01,3.74
1904-08-01,2.7
1904-09-01,1.47
1904-10-01,0.4
1904-11-01,0.98
1904-12-01,2.81
1905-01-01,3.56
1905-02-01,2.47
1905-03-01,2.21
1905-04-01,2.33
1905-05-01,6.11
1905-06-01,4.92
1905-07-01,6.86
1905-08-01,6.21
1905-09-01,2.15
1905-10-01,2.46
1905-11-01,0.45
1905-12-01,5.82
1906-01-01,4.08
1906-02-01,1.14
1906-03-01,4.93
1906-04-01,2.47
1906-05-01,3.18
1906-06-01,3.21
1906-07-01,4.1
1906-08-01,4.84
1906-09-01,2.34
1906-10-01,7.14
1906-11-01,2.27
1906-12-01,2.93
1907-01-01,0.98
1907-02-01,0.78
1907-03-01,2.5
1907-04-01,3.43
1907-05-01,3.32
1907-06-01,7.0
1907-07-01,2.63
1907-08-01,3.21
1907-09-01,10.2
1907-10-01,0.6
1907-11-01,4.47
1907-12-01,4.45
1908-01-01,4.37
1908-02-01,2.85
1908-03-01,2.71
1908-04-01,2.86
1908-05-01,3.83
1908-06-01,4.58
1908-07-01,4.49
1908-08-01,6.55
1908-09-01,2.22
1908-10-01,3.52
1908-11-01,1.18
1908-12-01,3.54
1909-01-01,1.36
1909-02-01,3.09
1909-03-01,2.37
1909-04-01,2.38
1909-05-01,4.58
1909-06-01,4.95
1909-07-01,1.87
1909-08-01,3.2
1909-09-01,2.65
1909-10-01,1.46
1909-11-01,0.52
1909-12-01,2.79
1910-01-01,3.44
1910-02-01,3.58
1910-03-01,0.36
1910-04-01,5.87
1910-05-01,2.78
1910-06-01,6.59
1910-07-01,4.19
1910-08-01,2.25
1910-09-01,3.19
1910-10-01,4.54
1910-11-01,0.87
1910-12-01,2.0
1911-01-01,4.19
1911-02-01,1.23
1911-03-01,2.12
1911-04-01,4.21
1911-05-01,0.66
1911-06-01,2.82
1911-07-01,5.53
1911-08-01,5.73
1911-09-01,0.85
1911-10-01,3.87
1911-11-01,3.22
1911-12-01,4.65
1912-01-01,1.85
1912-02-01,3.36
1912-03-01,8.54
1912-04-01,1.89
1912-05-01,4.95
1912-06-01,2.35
1912-07-01,3.64
1912-08-01,1.28
1912-09-01,6.98
1912-10-01,0.96
1912-11-01,2.72
1912-12-01,2.36
1913-01-01,1.92
1913-02-01,1.99
1913-03-01,5.52
1913-04-01,3.59
1913-05-01,4.76
1913-06-01,2.48
1913-07-01,1.53
1913-08-01,2.4
1913-09-01,2.44
1913-10-01,3.3
1913-11-01,3.32
1913-12-01,2.56
1914-01-01,2.3
1914-02-01,2.8
1914-03-01,2.24
1914-04-01,1.7
1914-05-01,0.59
1914-06-01,2.21
1914-07-01,4.53
1914-08-01,2.6
1914-09-01,0.67
1914-10-01,4.42
1914-11-01,2.31
1914-12-01,4.68
1915-01-01,3.86
1915-02-01,2.89
1915-03-01,1.14
1915-04-01,0.81
1915-05-01,1.99
1915-06-01,4.16
1915-07-01,3.05
1915-08-01,5.47
1915-09-01,3.26
1915-10-01,2.21
1915-11-01,1.66
1915-12-01,2.37
1916-01-01,0.99
1916-02-01,2.92
1916-03-01,1.32
1916-04-01,1.94
1916-05-01,5.13
1916-06-01,6.28
1916-07-01,9.76
1916-08-01,2.69
1916-09-01,2.55
1916-10-01,2.22
1916-11-01,1.52
1916-12-01,2.32
1917-01-01,2.69
1917-02-01,1.66
1917-03-01,4.97
1917-04-01,3.1
1917-05-01,2.21
1917-06-01,5.17
1917-07-01,2.97
1917-08-01,3.53
1917-09-01,1.96
1917-10-01,2.24
1917-11-01,0.25
1917-12-01,1.7
1918-01-01,4.45
1918-02-01,0.53
1918-03-01,2.41
1918-04-01,4.97
1918-05-01,2.15
1918-06-01,2.93
1918-07-01,3.69
1918-08-01,2.91
1918-09-01,2.61
1918-10-01,0.95
1918-11-01,1.26
1918-12-01,2.59
1919-01-01,4.13
1919-02-01,2.23
1919-03-01,3.02
1919-04-01,2.18
1919-05-01,3.64
1919-06-01,7.61
1919-07-01,5.21
1919-08-01,3.03
1919-09-01,0.47
1919-10-01,2.65
1919-11-01,2.48
1919-12-01,1.96
1920-01-01,1.64
1920-02-01,4.03
1920-03-01,2.82
1920-04-01,3.53
1920-05-01,0.79
1920-06-01,5.12
1920-07-01,4.82
1920-08-01,6.76
1920-09-01,4.51
1920-10-01,0.1
1920-11-01,7.14
1920-12-01,2.34
1921-01-01,2.69
1921-02-01,2.6
1921-03-01,1.75
1921-04-01,2.76
1921-05-01,6.15
1921-06-01,1.85
1921-07-01,3.56
1921-08-01,0.83
1921-09-01,1.71
1921-10-01,2.45
1921-11-01,1.65
1921-12-01,1.01
1922-01-01,3.9
1922-02-01,3.32
1922-03-01,7.5
1922-04-01,1.53
1922-05-01,4.37
1922-06-01,3.35
1922-07-01,2.25
1922-08-01,1.18
1922-09-01,1.42
1922-10-01,4.19
1922-11-01,0.19
1922-12-01,3.42
1923-01-01,2.25
1923-02-01,2.38
1923-03-01,5.91
1923-04-01,2.7
1923-05-01,1.66
1923-06-01,1.62
1923-07-01,2.52
1923-08-01,3.44
1923-09-01,2.84
1923-10-01,1.5
1923-11-01,1.98
1923-12-01,2.72
1924-01-01,3.37
1924-02-01,1.87
1924-03-01,2.77
1924-04-01,3.35
1924-05-01,5.16
1924-06-01,3.58
1924-07-01,3.74
1924-08-01,4.8
1924-09-01,4.69
1924-10-01,2.48
1924-11-01,1.45
1924-12-01,3.34
1925-01-01,3.4
1925-02-01,1.04
1925-03-01,1.06
1925-04-01,2.61
1925-05-01,1.34
1925-06-01,2.77
1925-07-01,3.56
1925-08-01,0.56
1925-09-01,0.43
1925-10-01,4.08
1925-11-01,2.68
1925-12-01,2.86
1926-01-01,3.89
1926-02-01,3.59
1926-03-01,2.52
1926-04-01,1.82
1926-05-01,0.44
1926-06-01,1.13
1926-07-01,2.73
1926-08-01,1.67
1926-09-01,1.59
1926-10-01,3.16
1926-11-01,3.43
1926-12-01,4.99
1927-01-01,1.09
