Date,Value
1874-01-01,2.09
1874-02-01,4.79
1874-03-01,4.26
1874-04-01,5.97
1874-05-01,3.97
1874-06-01,3.49
1874-07-01,8.81
1874-08-01,5.24
1874-09-01,3.78
1874-10-01,0.04
1874-11-01,3.39
1874-12-01,4.58
1875-01-01,5.89
1875-02-01,2.95
1875-03-01,8.09
1875-04-01,3.23
1875-05-01,2.29
1875-06-01,1.38
1875-07-01,4.72
1875-08-01,10.37
1875-09-01,2.05
1875-10-01,3.21
1875-11-01,3.69
1875-12-01,3.14
1876-01-01,1.37
1876-02-01,3.96
1876-03-01,4.1
1876-04-01,2.72
1876-05-01,4.42
1876-06-01,4.1
1876-07-01,5.5
1876-08-01,4.54
1876-09-01,9.09
1876-10-01,1.52
1876-11-01,3.28
1876-12-01,1.94
1877-01-01,3.85
1877-02-01,1.47
1877-03-01,4.85
1877-04-01,9.98
1877-05-01,2.84
1877-06-01,4.79
1877-07-01,7.97
1877-08-01,3.78
1877-09-01,11.9
1877-10-01,7.82
1877-11-01,5.55
1877-12-01,4.34
1878-01-01,6.02
1878-02-01,2.06
1878-03-01,1.21
1878-04-01,4.5
1878-05-01,7.01
1878-06-01,5.13
1878-07-01,2.02
1878-08-01,9.95
1878-09-01,2.25
1878-10-01,5.03
1878-11-01,3.13
1878-12-01,4.56
1879-01-01,3.26
1879-02-01,2.75
1879-03-01,4.29
1879-04-01,2.15
1879-05-01,2.48
1879-06-01,2.57
1879-07-01,3.9
1879-08-01,9.9
1879-09-01,3.77
1879-10-01,0.25
1879-11-01,0.42
1879-12-01,2.34
1880-01-01,1.42
1880-02-01,1.69
1880-03-01,5.34
1880-04-01,1.83
1880-05-01,0.54
1880-06-01,5.34
1880-07-01,7.93
1880-08-01,9.9
1880-09-01,4.07
1880-10-01,3.08
1880-11-01,5.64
1880-12-01,4.75
1881-01-01,3.55
1881-02-01,2.88
1881-03-01,3.38
1881-04-01,4.06
1881-05-01,1.49
1881-06-01,3.74
1881-07-01,6.47
1881-08-01,1.74
1881-09-01,2.67
1881-10-01,2.43
1881-11-01,6.04
1881-12-01,1.61
1882-01-01,6.4
1882-02-01,3.58
1882-03-01,3.33
1882-04-01,3.23
1882-05-01,5.87
1882-06-01,3.12
1882-07-01,4.9
1882-08-01,4.53
1882-09-01,8.07
1882-10-01,6.67
1882-11-01,1.88
1882-12-01,6.09
1883-01-01,6.91
1883-02-01,3.84
1883-03-01,3.03
1883-04-01,9.76
1883-05-01,4.09
1883-06-01,6.52
1883-07-01,3.87
1883-08-01,2.91
1883-09-01,6.63
1883-10-01,3.79
1883-11-01,0.55
1883-12-01,2.4
1884-01-01,5.94
1884-02-01,4.58
1884-03-01,9.13
1884-04-01,1.95
1884-05-01,1.25
1884-06-01,6.45
1884-07-01,7.06
1884-08-01,2.95
1884-09-01,0.17
1884-10-01,0.47
1884-11-01,0.74
1884-12-01,4.36
1885-01-01,4.03
1885-02-01,3.79
1885-03-01,3.04
1885-04-01,1.92
1885-05-01,6.16
1885-06-01,3.48
1885-07-01,3.22
1885-08-01,2.4
1885-09-01,3.31
1885-10-01,3.33
1885-11-01,4.64
1885-12-01,3.94
1886-01-01,2.93
1886-02-01,4.03
1886-03-01,2.36
1886-04-01,3.16
1886-05-01,8.32
1886-06-01,5.34
1886-07-01,4.23
1886-08-01,10.23
1886-09-01,4.63
1886-10-01,1.31
1886-11-01,1.94
1886-12-01,5.85
1887-01-01,3.64
1887-02-01,2.61
1887-03-01,4.38
1887-04-01,3.37
1887-05-01,1.94
1887-06-01,2.72
1887-07-01,5.33
1887-08-01,8.56
1887-09-01,3.06
1887-10-01,6.38
1887-11-01,1.69
1887-12-01,4.06
1888-01-01,4.42
1888-02-01,2.41
1888-03-01,4.55
1888-04-01,0.97
1888-05-01,8.46
1888-06-01,5.79
1888-07-01,5.26
1888-08-01,7.81
1888-09-01,6.1
1888-10-01,3.84
1888-11-01,3.71
1888-12-01,3.22
1889-01-01,4.88
1889-02-01,4.21
1889-03-01,7.52
1889-04-01,11.87
1889-05-01,4.58
1889-06-01,4.75
1889-07-01,10.69
1889-08-01,5.93
1889-09-01,5.41
1889-10-01,7.56
1889-11-01,2.55
1889-12-01,0.77
1890-01-01,1.13
1890-02-01,1.98
1890-03-01,4.06
1890-04-01,3.7
1890-05-01,4.03
1890-06-01,2.79
1890-07-01,6.33
1890-08-01,9.36
1890-09-01,6.64
1890-10-01,3.96
1890-11-01,0.23
1890-12-01,6.01
1891-01-01,2.86
1891-02-01,5.1
1891-03-01,8.09
1891-04-01,1.88
1891-05-01,3.58
1891-06-01,1.56
1891-07-01,8.9
1891-08-01,5.87
1891-09-01,2.43
1891-10-01,6.89
1891-11-01,2.11
1891-12-01,1.36
1892-01-01,4.99
1892-02-01,5.22
1892-03-01,3.61
1892-04-01,6.86
1892-05-01,3.76
1892-06-01,4.83
1892-07-01,8.27
1892-08-01,3.56
1892-09-01,1.33
1892-10-01,0.52
1892-11-01,2.38
1892-12-01,3.91
1893-01-01,2.55
1893-02-01,4.04
1893-03-01,3.32
1893-04-01,2.07
1893-05-01,6.79
1893-06-01,8.36
1893-07-01,6.11
1893-08-01,5.71
1893-09-01,6.29
1893-10-01,2.86
1893-11-01,6.75
1893-12-01,3.05
1894-01-01,3.54
1894-02-01,5.53
1894-03-01,2.94
1894-04-01,2.11
1894-05-01,3.47
1894-06-01,3.36
1894-07-01,8.01
1894-08-01,8.45
1894-09-01,6.49
1894-10-01,6.05
1894-11-01,0.86
1894-12-01,2.28
1895-01-01,4.3
1895-02-01,2.62
1895-03-01,5.36
1895-04-01,6.07
1895-05-01,8.6
1895-06-01,2.39
1895-07-01,4.36
1895-08-01,2.58
1895-09-01,0.19
1895-10-01,1.99
1895-11-01,3.41
1895-12-01,3.54
1896-01-01,1.89
1896-02-01,4.39
1896-03-01,1.67
1896-04-01,1.18
1896-05-01,6.63
1896-06-01,7.91
1896-07-01,7.26
1896-08-01,2.05
1896-09-01,3.47
1896-10-01,2.15
1896-11-01,2.41
1896-12-01,3.21
1897-01-01,1.47
1897-02-01,4.03
1897-03-01,4.38
1897-04-01,1.51
1897-05-01,5.36
1897-06-01,1.98
1897-07-01,4.42
1897-08-01,2.08
1897-09-01,2.01
1897-10-01,8.7
1897-11-01,2.84
1897-12-01,3.88
1898-01-01,1.44
1898-02-01,1.48
1898-03-01,3.51
1898-04-01,6.69
1898-05-01,5.12
1898-06-01,3.76
1898-07-01,8.89
1898-08-01,8.48
1898-09-01,3.34
1898-10-01,5.63
1898-11-01,2.9
1898-12-01,1.9
1899-01-01,3.05
1899-02-01,5.55
1899-03-01,6.12
1899-04-01,1.95
1899-05-01,1.69
1899-06-01,5.67
1899-07-01,5.87
1899-08-01,2.73
1899-09-01,0.37
1899-10-01,3.47
1899-11-01,0.7
1899-12-01,1.24
1900-01-01,2.13
1900-02-01,3.75
1900-03-01,4.16
1900-04-01,4.43
1900-05-01,2.74
1900-06-01,2.52
1900-07-01,6.51
1900-08-01,3.37
1900-09-01,1.92
1900-10-01,2.22
1900-11-01,3.34
1900-12-01,2.25
1901-01-01,2.09
1901-02-01,1.15
1901-03-01,3.24
1901-04-01,4.4
1901-05-01,2.59
1901-06-01,3.77
1901-07-01,3.15
1901-08-01,9.92
1901-09-01,5.8
1901-10-01,2.34
1901-11-01,0.81
1901-12-01,3.35
1902-01-01,2.15
1902-02-01,4.66
1902-03-01,2.44
1902-04-01,1.79
1902-05-01,3.16
1902-06-01,2.88
1902-07-01,3.74
1902-08-01,4.51
1902-09-01,4.82
1902-10-01,2.86
1902-11-01,3.05
1902-12-01,2.42
1903-01-01,1.94
1903-02-01,3.24
1903-03-01,6.01
1903-04-01,4.34
1903-05-01,2.27
1903-06-01,3.4
1903-07-01,4.0
1903-08-01,7.68
1903-09-01,2.79
1903-10-01,6.08
1903-11-01,2.14
1903-12-01,2.21
1904-01-01,3.19
1904-02-01,3.56
1904-03-01,3.67
1904-04-01,1.13
1904-05-01,2.62
1904-06-01,4.17
1904-07-01,6.56
1904-08-01,4.24
1904-09-01,4.02
1904-10-01,2.26
1904-11-01,1.96
1904-12-01,5.22
1905-01-01,2.99
1905-02-01,4.43
1905-03-01,2.8
1905-04-01,3.88
1905-05-01,2.3
1905-06-01,2.26
1905-07-01,7.22
1905-08-01,6.83
1905-09-01,3.92
1905-10-01,1.78
1905-11-01,0.9
1905-12-01,3.98
1906-01-01,2.57
1906-02-01,4.35
1906-03-01,3.97
1906-04-01,1.54
1906-05-01,4.99
1906-06-01,2.48
1906-07-01,8.9
1906-08-01,11.2
1906-09-01,0.66
1906-10-01,4.69
1906-11-01,0.91
1906-12-01,2.97
1907-01-01,1.03
1907-02-01,4.01
1907-03-01,3.37
1907-04-01,3.21
1907-05-01,3.2
1907-06-01,3.56
1907-07-01,4.46
1907-08-01,3.89
1907-09-01,3.01
1907-10-01,1.19
1907-11-01,4.52
1907-12-01,3.27
1908-01-01,2.92
1908-02-01,2.79
1908-03-01,4.5
1908-04-01,3.26
1908-05-01,3.99
1908-06-01,4.56
