Date,Value
1887-01-01,1.88
1887-02-01,4.4
1887-03-01,2.38
1887-04-01,2.63
1887-05-01,3.56
1887-06-01,4.45
1887-07-01,6.58
1887-08-01,8.27
1887-09-01,1.19
1887-10-01,4.94
1887-11-01,2.49
1887-12-01,4.04
1888-01-01,2.79
1888-02-01,2.39
1888-03-01,5.25
1888-04-01,2.55
1888-05-01,5.7
1888-06-01,4.89
1888-07-01,1.4
1888-08-01,4.19
1888-09-01,10.41
1888-10-01,3.24
1888-11-01,3.15
1888-12-01,3.52
1889-01-01,4.77
1889-02-01,3.71
1889-03-01,3.68
1889-04-01,8.89
1889-05-01,9.13
1889-06-01,7.93
1889-07-01,14.01
1889-08-01,3.99
1889-09-01,5.6
1889-10-01,5.15
1889-11-01,4.59
1889-12-01,0.57
1890-01-01,1.53
1890-02-01,3.35
1890-03-01,3.34
1890-04-01,2.79
1890-05-01,4.69
1890-06-01,2.21
1890-07-01,4.58
1890-08-01,5.51
1890-09-01,5.5
1890-10-01,8.51
1890-11-01,0.11
1890-12-01,4.48
1891-01-01,4.79
1891-02-01,5.68
1891-03-01,8.78
1891-04-01,1.96
1891-05-01,5.18
1891-06-01,4.12
1891-07-01,4.69
1891-08-01,4.8
1891-09-01,1.24
1891-10-01,2.12
1891-11-01,1.88
1891-12-01,2.13
1892-01-01,3.96
1892-02-01,3.36
1892-03-01,3.19
1892-04-01,6.77
1892-05-01,2.32
1892-06-01,3.47
1892-07-01,5.11
1892-08-01,3.32
1892-09-01,3.15
1892-10-01,0.83
1892-11-01,4.58
1892-12-01,1.64
1893-01-01,3.37
1893-02-01,4.98
1893-03-01,2.44
1893-04-01,3.82
1893-05-01,5.15
1893-06-01,2.62
1893-07-01,3.24
1893-08-01,3.43
1893-09-01,6.86
1893-10-01,5.72
1893-11-01,3.22
1893-12-01,2.39
1894-01-01,3.35
1894-02-01,4.51
1894-03-01,1.21
1894-04-01,3.29
1894-05-01,6.74
1894-06-01,2.77
1894-07-01,4.59
1894-08-01,5.12
1894-09-01,6.48
1894-10-01,4.06
1894-11-01,1.68
1894-12-01,2.66
1895-01-01,5.25
1895-02-01,1.47
1895-03-01,4.23
1895-04-01,8.31
1895-05-01,4.24
