Date,Value
1913-01-01,2.31
1913-02-01,1.86
1913-03-01,4.38
1913-04-01,2.05
1913-05-01,5.84
1913-06-01,5.0
1913-07-01,2.92
1913-08-01,4.27
1913-09-01,3.83
1913-10-01,4.5
1913-11-01,2.09
1913-12-01,2.89
1914-01-01,2.31
1914-02-01,4.07
1914-03-01,3.51
1914-04-01,1.71
1914-05-01,0.63
1914-06-01,3.73
1914-07-01,5.8
1914-08-01,1.8
1914-09-01,1.52
1914-10-01,6.97
1914-11-01,3.73
1914-12-01,2.89
1915-01-01,4.0
1915-02-01,2.68
1915-03-01,1.53
1915-04-01,0.79
1915-05-01,2.23
1915-06-01,2.95
1915-07-01,1.99
1915-08-01,7.17
1915-09-01,5.76
1915-10-01,6.95
1915-11-01,1.82
1915-12-01,3.37
1916-01-01,1.81
1916-02-01,4.13
1916-03-01,1.56
1916-04-01,1.49
1916-05-01,2.13
1916-06-01,6.91
1916-07-01,6.38
1916-08-01,5.01
1916-09-01,2.63
1916-10-01,6.95
1916-11-01,1.82
1916-12-01,1.23
1917-01-01,2.8
1917-02-01,2.08
1917-03-01,1.56
1917-04-01,3.25
1917-05-01,2.09
1917-06-01,2.67
1917-07-01,3.96
1917-08-01,0.76
1917-09-01,1.71
1917-10-01,2.63
1917-11-01,0.49
1917-12-01,2.22
1918-01-01,4.85
1918-02-01,0.78
1918-03-01,3.88
1918-04-01,6.19
1918-05-01,2.59
1918-06-01,5.12
1918-07-01,3.95
1918-08-01,5.84
1918-09-01,4.08
1918-10-01,4.27
1918-11-01,1.27
1918-12-01,4.03
1919-01-01,3.98
1919-02-01,2.58
1919-03-01,3.33
1919-04-01,2.76
1919-05-01,3.4
1919-06-01,8.03
1919-07-01,4.39
1919-08-01,2.38
1919-09-01,0.56
1919-10-01,3.53
1919-11-01,1.87
1919-12-01,2.26
1920-01-01,2.12
1920-02-01,3.03
1920-03-01,2.23
1920-04-01,2.76
1920-05-01,2.62
1920-06-01,8.03
1920-07-01,4.39
1920-08-01,6.73
1920-09-01,2.82
1920-10-01,0.22
1920-11-01,6.41
1920-12-01,2.81
1921-01-01,4.75
1921-02-01,2.56
1921-03-01,1.33
1921-04-01,2.77
1921-05-01,2.64
1921-06-01,3.22
1921-07-01,5.46
1921-08-01,2.05
1921-09-01,2.18
1921-10-01,3.94
1921-11-01,2.88
1921-12-01,2.81
1922-01-01,3.2
1922-02-01,4.18
1922-03-01,1.33
1922-04-01,1.01
1922-05-01,4.14
1922-06-01,3.27
1922-07-01,4.26
1922-08-01,3.48
1922-09-01,0.32
1922-10-01,3.51
1922-11-01,0.23
1922-12-01,3.84
1923-01-01,2.88
1923-02-01,3.12
1923-03-01,4.06
1923-04-01,2.25
1923-05-01,1.64
1923-06-01,3.57
1923-07-01,4.85
1923-08-01,7.1
1923-09-01,3.58
1923-10-01,1.54
1923-11-01,2.88
1923-12-01,4.06
1924-01-01,5.08
1924-02-01,3.12
1924-03-01,3.12
1924-04-01,3.77
1924-05-01,4.94
1924-06-01,3.13
1924-07-01,4.26
1924-08-01,2.46
1924-09-01,7.83
1924-10-01,1.2
1924-11-01,2.03
1924-12-01,3.05
1925-01-01,4.75
