Date,Value
1964-01-01,5.56
1964-02-01,4.5
1964-03-01,2.82
1964-04-01,3.68
1964-05-01,0.8
1964-06-01,1.36
1964-07-01,3.09
1964-08-01,2.49
1964-09-01,3.72
1964-10-01,1.96
1964-11-01,1.8
1964-12-01,4.19
1965-01-01,3.24
1965-02-01,2.58
1965-03-01,4.27
1965-04-01,2.53
1965-05-01,1.77
1965-06-01,1.75
1965-07-01,3.94
1965-08-01,3.75
1965-09-01,2.28
1965-10-01,1.87
1965-11-01,0.46
1965-12-01,0.42
1966-01-01,4.22
1966-02-01,3.9
1966-03-01,1.24
1966-04-01,4.38
1966-05-01,3.84
1966-06-01,0.94
1966-07-01,2.17
1966-08-01,1.79
1966-09-01,9.39
1966-10-01,3.01
1966-11-01,1.5
1966-12-01,3.67
1967-01-01,1.12
1967-02-01,2.18
1967-03-01,4.74
1967-04-01,0.93
1967-05-01,4.37
1967-06-01,1.68
1967-07-01,3.38
1967-08-01,9.28
1967-09-01,0.62
1967-10-01,2.79
1967-11-01,2.61
1967-12-01,5.69
1968-01-01,2.31
1968-02-01,0.68
1968-03-01,3.36
1968-04-01,1.29
1968-05-01,5.9
1968-06-01,5.2
1968-07-01,4.08
1968-08-01,4.9
1968-09-01,2.1
1968-10-01,2.77
1968-11-01,3.57
1968-12-01,2.32
1969-01-01,2.07
1969-02-01,1.69
1969-03-01,2.04
1969-04-01,1.34
1969-05-01,0.99
1969-06-01,5.55
1969-07-01,4.9
1969-08-01,5.07
1969-09-01,4.89
1969-10-01,0.85
1969-11-01,2.11
1969-12-01,6.74
1970-01-01,1.32
1970-02-01,2.76
1970-03-01,2.98
1970-04-01,4.19
1970-05-01,2.86
1970-06-01,2.48
1970-07-01,6.0
1970-08-01,2.65
1970-09-01,1.03
1970-10-01,2.79
1970-11-01,6.0
1970-12-01,3.88
1971-01-01,2.27
1971-02-01,4.68
1971-03-01,2.27
1971-04-01,2.56
1971-05-01,8.47
1971-06-01,2.81
1971-07-01,2.15
1971-08-01,4.45
1971-09-01,3.63
1971-10-01,9.19
1971-11-01,3.13
1971-12-01,1.0
1972-01-01,2.28
1972-02-01,5.44
1972-03-01,2.37
1972-04-01,4.4
1972-05-01,4.76
1972-06-01,18.19
1972-07-01,1.53
1972-08-01,2.09
1972-09-01,1.4
1972-10-01,3.44
1972-11-01,7.09
1972-12-01,6.06
1973-01-01,2.25
1973-02-01,2.84
1973-03-01,2.66
1973-04-01,7.35
1973-05-01,3.97
1973-06-01,1.91
1973-07-01,4.99
1973-08-01,3.18
1973-09-01,3.14
1973-10-01,2.67
1973-11-01,0.81
1973-12-01,5.72
1974-01-01,3.07
1974-02-01,1.14
1974-03-01,3.09
1974-04-01,2.14
1974-05-01,3.78
1974-06-01,5.41
1974-07-01,2.69
1974-08-01,4.84
1974-09-01,4.02
1974-10-01,0.71
1974-11-01,1.97
1974-12-01,5.26
1975-01-01,2.76
1975-02-01,1.97
1975-03-01,4.38
1975-04-01,2.58
1975-05-01,2.99
1975-06-01,7.08
1975-07-01,6.25
1975-08-01,5.38
1975-09-01,11.26
1975-10-01,2.34
1975-11-01,1.64
1975-12-01,4.01
1976-01-01,2.81
1976-02-01,1.42
1976-03-01,4.15
1976-04-01,1.31
1976-05-01,4.18
1976-06-01,2.88
1976-07-01,2.33
1976-08-01,3.13
1976-09-01,3.75
1976-10-01,7.88
1976-11-01,0.57
1976-12-01,1.78
1977-01-01,1.1
1977-02-01,0.49
1977-03-01,3.59
1977-04-01,2.58
1977-05-01,2.33
1977-06-01,3.09
1977-07-01,3.25
1977-08-01,4.18
1977-09-01,1.74
1977-10-01,4.19
1977-11-01,4.51
1977-12-01,4.87
1978-01-01,6.55
1978-02-01,0.25
1978-03-01,2.85
1978-04-01,1.62
1978-05-01,5.05
1978-06-01,4.36
1978-07-01,4.52
1978-08-01,4.29
1978-09-01,0.78
1978-10-01,0.79
1978-11-01,3.02
1978-12-01,3.58
1979-01-01,6.61
1979-02-01,5.75
1979-03-01,3.5
1979-04-01,2.05
1979-05-01,4.89
1979-06-01,4.64
1979-07-01,2.18
1979-08-01,6.05
1979-09-01,7.58
1979-10-01,8.65
1979-11-01,2.65
1979-12-01,0.88
1980-01-01,2.95
1980-02-01,1.0
1980-03-01,4.82
1980-04-01,3.64
1980-05-01,3.86
1980-06-01,1.89
1980-07-01,4.41
1980-08-01,1.67
1980-09-01,2.7
1980-10-01,2.77
1980-11-01,3.42
1980-12-01,0.68
1981-01-01,0.4
1981-02-01,4.1
1981-03-01,0.99
1981-04-01,3.05
1981-05-01,4.36
1981-06-01,3.86
1981-07-01,4.05
1981-08-01,3.55
1981-09-01,2.07
